Order ID,Customer ID,Platform,Order Date & Time,Delivery Time (Minutes),Product Category,Order Value (INR),Customer Feedback,Service Rating,Delivery Delay,Refund Requested,Hour,Delay_Flag,Refund_Flag,Delivery_Tier,Order_Segment,Hour_Bucket
ORD000001,CUST2824,JioMart,19:29.5,30,Fruits & Vegetables,382,"Fast delivery, great service!",5,No,No,19,0,0,On-Time,Medium,Evening
ORD000002,CUST1409,Blinkit,54:29.5,16,Dairy,279,Quick and reliable!,5,No,No,54,0,0,Express,Medium,Off-Peak
ORD000003,CUST5506,JioMart,21:29.5,25,Beverages,599,Items missing from order.,2,No,Yes,21,0,1,On-Time,High,Evening
ORD000004,CUST5012,JioMart,19:29.5,42,Beverages,946,Items missing from order.,2,Yes,Yes,19,1,1,Slow,High,Evening
ORD000005,CUST4657,Blinkit,49:29.5,30,Beverages,334,"Fast delivery, great service!",5,No,No,49,0,0,On-Time,Medium,Off-Peak
ORD000006,CUST3286,Blinkit,36:29.5,25,Personal Care,1939,Items missing from order.,2,No,Yes,36,0,1,On-Time,Premium,Off-Peak
ORD000007,CUST2679,JioMart,22:29.5,22,Personal Care,1693,"Fast delivery, great service!",5,No,No,22,0,0,On-Time,Premium,Evening
ORD000008,CUST9935,Swiggy Instamart,50:29.5,16,Personal Care,195,"Horrible experience, never ordering again.",1,No,Yes,50,0,1,Express,Low,Off-Peak
ORD000009,CUST2424,JioMart,51:29.5,39,Fruits & Vegetables,182,Very satisfied with the service.,5,No,No,51,0,0,Slow,Low,Off-Peak
ORD000010,CUST7912,JioMart,08:29.5,51,Grocery,1279,"Very late delivery, not happy.",2,Yes,Yes,8,1,1,Very Late,Premium,Morning
ORD000011,CUST1520,JioMart,32:29.5,25,Fruits & Vegetables,553,"Fast delivery, great service!",5,No,No,32,0,0,On-Time,High,Off-Peak
ORD000012,CUST1488,JioMart,12:29.5,11,Grocery,1062,Excellent experience!,5,No,No,12,0,0,Express,Premium,Lunch
ORD000013,CUST2535,Blinkit,08:29.5,45,Fruits & Vegetables,516,"Horrible experience, never ordering again.",1,Yes,Yes,8,1,1,Slow,High,Morning
ORD000014,CUST4582,JioMart,19:29.5,21,Dairy,322,"Very late delivery, not happy.",2,No,Yes,19,0,1,On-Time,Medium,Evening
ORD000015,CUST4811,Swiggy Instamart,27:29.5,33,Fruits & Vegetables,50,"Easy to order, loved it!",5,No,No,27,0,0,On-Time,Low,Off-Peak
ORD000016,CUST9279,Blinkit,07:29.5,35,Beverages,143,Good quality products.,4,No,No,7,0,0,On-Time,Low,Morning
