Order ID,Customer ID,Platform,Order Date & Time,Delivery Time (Minutes),Product Category,Order Value (INR),Customer Feedback,Service Rating,Delivery Delay,Refund Requested,Hour,Delay_Flag,Refund_Flag,Delivery_Tier,Order_Segment,Hour_Bucket,Sentiment,Feedback_Theme,Sentiment_Score
ORD000001,CUST2824,JioMart,19:29.5,30,Fruits & Vegetables,382,"Fast delivery, great service!",5,No,No,19,0,0,On-Time,Medium,Evening,Positive,Speed,1
ORD000002,CUST1409,Blinkit,54:29.5,16,Dairy,279,Quick and reliable!,5,No,No,54,0,0,Express,Medium,Off-Peak,Positive,Speed,1
ORD000003,CUST5506,JioMart,21:29.5,25,Beverages,599,Items missing from order.,2,No,Yes,21,0,1,On-Time,High,Evening,Negative,Order Accuracy,-1
ORD000004,CUST5012,JioMart,19:29.5,42,Beverages,946,Items missing from order.,2,Yes,Yes,19,1,1,Slow,High,Evening,Negative,Order Accuracy,-1
ORD000005,CUST4657,Blinkit,49:29.5,30,Beverages,334,"Fast delivery, great service!",5,No,No,49,0,0,On-Time,Medium,Off-Peak,Positive,Speed,1
ORD000006,CUST3286,Blinkit,36:29.5,25,Personal Care,1939,Items missing from order.,2,No,Yes,36,0,1,On-Time,Premium,Off-Peak,Negative,Order Accuracy,-1
ORD000007,CUST2679,JioMart,22:29.5,22,Personal Care,1693,"Fast delivery, great service!",5,No,No,22,0,0,On-Time,Premium,Evening,Positive,Speed,1
ORD000008,CUST9935,Swiggy Instamart,50:29.5,16,Personal Care,195,"Horrible experience, never ordering again.",1,No,Yes,50,0,1,Express,Low,Off-Peak,Negative,Overall,-1
ORD000009,CUST2424,JioMart,51:29.5,39,Fruits & Vegetables,182,Very satisfied with the service.,5,No,No,51,0,0,Slow,Low,Off-Peak,Positive,Overall,1
ORD000010,CUST7912,JioMart,08:29.5,51,Grocery,1279,"Very late delivery, not happy.",2,Yes,Yes,8,1,1,Very Late,Premium,Morning,Negative,Speed,-1
ORD000011,CUST1520,JioMart,32:29.5,25,Fruits & Vegetables,553,"Fast delivery, great service!",5,No,No,32,0,0,On-Time,High,Off-Peak,Positive,Speed,1
ORD000012,CUST1488,JioMart,12:29.5,11,Grocery,1062,Excellent experience!,5,No,No,12,0,0,Express,Premium,Lunch,Positive,Overall,1
ORD000013,CUST2535,Blinkit,08:29.5,45,Fruits & Vegetables,516,"Horrible experience, never ordering again.",1,Yes,Yes,8,1,1,Slow,High,Morning,Negative,Overall,-1
ORD000014,CUST4582,JioMart,19:29.5,21,Dairy,322,"Very late delivery, not happy.",2,No,Yes,19,0,1,On-Time,Medium,Evening,Negative,Speed,-1
ORD000015,CUST4811,Swiggy Instamart,27:29.5,33,Fruits & Vegetables,50,"Easy to order, loved it!",5,No,No,27,0,0,On-Time,Low,Off-Peak,Positive,App/UX,1
ORD000016,CUST9279,Blinkit,07:29.5,35,Beverages,143,Good quality products.,4,No,No,7,0,0,On-Time,Low,Morning,Positive,Product Quality,1
ORD000017,CUST1434,Swiggy Instamart,58:29.5,41,Beverages,956,"Not fresh, disappointed.",2,Yes,Yes,58,1,1,Slow,High,Off-Peak,Negative,Product Quality,-1
ORD000018,CUST4257,Swiggy Instamart,23:29.5,27,Beverages,161,Excellent experience!,5,No,No,23,0,0,On-Time,Low,Off-Peak,Positive,Overall,1
ORD000019,CUST9928,Swiggy Instamart,15:29.5,34,Dairy,417,"Horrible experience, never ordering again.",1,No,Yes,15,0,1,On-Time,Medium,Off-Peak,Negative,Overall,-1
ORD000020,CUST7873,Swiggy Instamart,20:29.5,26,Beverages,677,Quick and reliable!,5,No,No,20,0,0,On-Time,High,Evening,Positive,Speed,1
ORD000021,CUST4611,Blinkit,44:29.5,10,Beverages,789,Wrong item delivered.,1,No,Yes,44,0,1,Express,High,Off-Peak,Negative,Order Accuracy,-1
ORD000022,CUST8359,Blinkit,57:29.5,25,Beverages,739,Delivery person was rude.,2,No,Yes,57,0,1,On-Time,High,Off-Peak,Negative,Staff,-1
ORD000023,CUST5557,Swiggy Instamart,01:29.5,33,Beverages,486,Good quality products.,4,No,No,1,0,0,On-Time,Medium,Off-Peak,Positive,Product Quality,1
ORD000024,CUST1106,Swiggy Instamart,27:29.5,20,Beverages,202,Packaging could be better.,3,No,No,27,0,0,Express,Medium,Off-Peak,Neutral,Packaging,0
ORD000025,CUST3615,Blinkit,06:29.5,30,Grocery,1288,Delivery person was rude.,2,No,Yes,6,0,1,On-Time,Premium,Off-Peak,Negative,Staff,-1
ORD000026,CUST7924,Blinkit,59:29.5,32,Dairy,205,Very satisfied with the service.,5,No,No,59,0,0,On-Time,Medium,Off-Peak,Positive,Overall,1
ORD000027,CUST6574,Blinkit,33:29.5,43,Fruits & Vegetables,204,Items missing from order.,2,Yes,Yes,33,1,1,Slow,Medium,Off-Peak,Negative,Order Accuracy,-1
ORD000028,CUST5552,JioMart,56:29.5,20,Dairy,334,Wrong item delivered.,1,No,Yes,56,0,1,Express,Medium,Off-Peak,Negative,Order Accuracy,-1
ORD000029,CUST3547,JioMart,57:29.5,32,Dairy,563,"Horrible experience, never ordering again.",1,No,Yes,57,0,1,On-Time,High,Off-Peak,Negative,Overall,-1
ORD000030,CUST4527,JioMart,53:29.5,19,Grocery,1333,"Easy to order, loved it!",5,No,No,53,0,0,Express,Premium,Off-Peak,Positive,App/UX,1
ORD000031,CUST6514,Swiggy Instamart,08:29.5,8,Beverages,757,Excellent experience!,5,No,No,8,0,0,Express,High,Morning,Positive,Overall,1
ORD000032,CUST2674,JioMart,23:29.5,25,Personal Care,1651,Packaging could be better.,3,No,No,23,0,0,On-Time,Premium,Off-Peak,Neutral,Packaging,0
ORD000033,CUST2519,Swiggy Instamart,08:29.5,24,Dairy,290,Quick and reliable!,5,No,No,8,0,0,On-Time,Medium,Morning,Positive,Speed,1
ORD000034,CUST7224,Swiggy Instamart,28:29.5,33,Personal Care,697,"Fast delivery, great service!",5,No,No,28,0,0,On-Time,High,Off-Peak,Positive,Speed,1
ORD000035,CUST2584,JioMart,31:29.5,41,Personal Care,668,"Fast delivery, great service!",5,Yes,No,31,1,0,Slow,High,Off-Peak,Positive,Speed,1
ORD000036,CUST6881,Swiggy Instamart,50:29.5,31,Fruits & Vegetables,582,Quick and reliable!,5,No,No,50,0,0,On-Time,High,Off-Peak,Positive,Speed,1
ORD000037,CUST6635,JioMart,01:29.5,23,Fruits & Vegetables,101,"Fast delivery, great service!",5,No,No,1,0,0,On-Time,Low,Off-Peak,Positive,Speed,1
ORD000038,CUST5333,JioMart,41:29.5,21,Snacks,402,Wrong item delivered.,1,No,Yes,41,0,1,On-Time,Medium,Off-Peak,Negative,Order Accuracy,-1
ORD000039,CUST1711,Blinkit,09:29.5,41,Beverages,711,Wrong item delivered.,1,Yes,Yes,9,1,1,Slow,High,Morning,Negative,Order Accuracy,-1
ORD000040,CUST8527,JioMart,11:29.5,36,Dairy,632,Quick and reliable!,5,No,No,11,0,0,Slow,High,Off-Peak,Positive,Speed,1
ORD000041,CUST9785,Blinkit,46:29.5,21,Fruits & Vegetables,516,Wrong item delivered.,1,No,Yes,46,0,1,On-Time,High,Off-Peak,Negative,Order Accuracy,-1
ORD000042,CUST3045,JioMart,11:29.5,16,Beverages,409,"Horrible experience, never ordering again.",1,No,Yes,11,0,1,Express,Medium,Off-Peak,Negative,Overall,-1
ORD000043,CUST7201,JioMart,37:29.5,21,Snacks,124,Delivery person was rude.,2,No,Yes,37,0,1,On-Time,Low,Off-Peak,Negative,Staff,-1
ORD000044,CUST2291,Blinkit,05:29.5,39,Grocery,1118,Quick and reliable!,5,No,No,5,0,0,Slow,Premium,Off-Peak,Positive,Speed,1
ORD000045,CUST5803,Blinkit,26:29.5,20,Personal Care,323,"Easy to order, loved it!",5,No,No,26,0,0,Express,Medium,Off-Peak,Positive,App/UX,1
ORD000046,CUST6925,JioMart,14:29.5,34,Snacks,174,Excellent experience!,5,No,No,14,0,0,On-Time,Low,Lunch,Positive,Overall,1
ORD000047,CUST4150,Swiggy Instamart,43:29.5,46,Snacks,320,"Horrible experience, never ordering again.",1,Yes,Yes,43,1,1,Slow,Medium,Off-Peak,Negative,Overall,-1
ORD000048,CUST2139,Blinkit,16:29.5,22,Snacks,71,Packaging could be better.,3,No,No,16,0,0,On-Time,Low,Off-Peak,Neutral,Packaging,0
ORD000049,CUST1750,Swiggy Instamart,32:29.5,26,Snacks,53,"Fast delivery, great service!",5,No,No,32,0,0,On-Time,Low,Off-Peak,Positive,Speed,1
ORD000050,CUST4733,Swiggy Instamart,59:29.5,29,Personal Care,916,Wrong item delivered.,1,No,Yes,59,0,1,On-Time,High,Off-Peak,Negative,Order Accuracy,-1
ORD000051,CUST5741,Swiggy Instamart,04:29.5,13,Dairy,289,Quick and reliable!,5,No,No,4,0,0,Express,Medium,Off-Peak,Positive,Speed,1
ORD000052,CUST2307,Blinkit,16:29.5,22,Grocery,774,"Easy to order, loved it!",5,No,No,16,0,0,On-Time,High,Off-Peak,Positive,App/UX,1
