Customer ID,Frequency,Monetary,Last_Order,Order_Num,Recency,R,F,M,Segment
CUST1000,10,5449,ORD098210,98210,1790,5,2,2,New Customers
CUST1001,17,9378,ORD099672,99672,328,5,5,5,Champions
CUST1002,12,6764,ORD099107,99107,893,5,3,3,Loyal
CUST1003,7,4177,ORD085551,85551,14449,2,1,1,Promising
CUST1004,11,6763,ORD095609,95609,4391,4,3,3,Loyal
CUST1005,7,5716,ORD093810,93810,6190,3,1,2,Promising
CUST1006,9,5199,ORD087681,87681,12319,2,2,2,Promising
CUST1007,11,6350,ORD092099,92099,7901,3,3,3,Loyal
CUST1008,11,6406,ORD079692,79692,20308,1,3,3,At Risk
CUST1009,9,5590,ORD080117,80117,19883,1,2,2,Promising
CUST1010,9,4600,ORD097007,97007,2993,4,2,2,New Customers
CUST1011,13,7361,ORD082723,82723,17277,1,4,4,At Risk
CUST1012,7,4098,ORD086103,86103,13897,2,1,1,Promising
CUST1013,10,4317,ORD098967,98967,1033,5,2,1,New Customers
CUST1014,9,4668,ORD088677,88677,11323,2,2,2,Promising
CUST1015,10,7352,ORD094029,94029,5971,3,2,4,Potential Loyalists
CUST1016,10,6134,ORD093379,93379,6621,3,2,3,Potential Loyalists
CUST1017,12,5672,ORD097528,97528,2472,4,3,2,Loyal
CUST1018,8,4698,ORD092454,92454,7546,3,1,2,Promising
CUST1019,15,9354,ORD098950,98950,1050,5,5,5,Champions
CUST1020,14,10355,ORD084254,84254,15746,1,4,5,At Risk
CUST1021,9,4802,ORD094719,94719,5281,3,2,2,Promising
CUST1022,6,5105,ORD084560,84560,15440,1,1,2,Lost
CUST1023,14,6742,ORD073633,73633,26367,1,4,3,At Risk
CUST1024,14,8502,ORD098045,98045,1955,5,4,4,Champions
CUST1025,13,6727,ORD096281,96281,3719,4,4,3,Loyal
CUST1026,9,4104,ORD058565,58565,41435,1,2,1,Promising
CUST1027,9,8297,ORD097330,97330,2670,4,2,4,New Customers
CUST1028,5,5223,ORD098820,98820,1180,5,1,2,New Customers
CUST1029,8,2916,ORD099848,99848,152,5,1,1,New Customers
CUST1030,14,8190,ORD098473,98473,1527,5,4,4,Champions
CUST1031,11,7689,ORD082956,82956,17044,1,3,4,At Risk
CUST1032,13,6805,ORD096954,96954,3046,4,4,3,Loyal
CUST1033,13,9301,ORD099362,99362,638,5,4,5,Champions
CUST1034,14,9621,ORD094327,94327,5673,3,4,5,Loyal
CUST1035,10,5204,ORD085943,85943,14057,2,2,2,Promising
CUST1036,12,6770,ORD098393,98393,1607,5,3,3,Loyal
CUST1037,9,4669,ORD086697,86697,13303,2,2,2,Promising
CUST1038,6,4677,ORD096284,96284,3716,4,1,2,New Customers
CUST1039,10,7077,ORD095604,95604,4396,4,2,4,New Customers
CUST1040,9,5480,ORD093500,93500,6500,3,2,2,Promising
CUST1041,13,6634,ORD098955,98955,1045,5,4,3,Loyal
CUST1042,13,5482,ORD089225,89225,10775,2,4,2,At Risk
CUST1043,16,12076,ORD096834,96834,3166,4,5,5,Champions
CUST1044,13,9723,ORD081039,81039,18961,1,4,5,At Risk
CUST1045,12,4128,ORD096315,96315,3685,4,3,1,Loyal
CUST1046,13,8214,ORD097757,97757,2243,4,4,4,Champions
CUST1047,7,4591,ORD056535,56535,43465,1,1,2,Lost
CUST1048,9,4389,ORD095404,95404,4596,4,2,1,New Customers
CUST1049,12,5604,ORD093992,93992,6008,3,3,2,Loyal
CUST1050,17,6952,ORD090513,90513,9487,2,5,3,At Risk
CUST1051,6,3212,ORD081453,81453,18547,1,1,1,Lost
CUST1052,18,11338,ORD092737,92737,7263,3,5,5,Loyal
CUST1053,10,5850,ORD072372,72372,27628,1,2,3,Hibernating
CUST1054,17,9416,ORD091067,91067,8933,2,5,5,At Risk
CUST1055,8,4494,ORD097287,97287,2713,4,1,2,New Customers
CUST1056,7,4887,ORD047225,47225,52775,1,1,2,Lost
CUST1057,14,7280,ORD099828,99828,172,5,4,4,Champions
CUST1058,13,11465,ORD095403,95403,4597,4,4,5,Champions
CUST1059,9,5410,ORD091703,91703,8297,2,2,2,Promising
CUST1060,12,7628,ORD084566,84566,15434,1,3,4,At Risk
CUST1061,14,8202,ORD095119,95119,4881,3,4,4,Loyal
CUST1062,12,8001,ORD094977,94977,5023,3,3,4,Loyal
CUST1063,7,3831,ORD084023,84023,15977,1,1,1,Lost
CUST1064,12,8329,ORD095304,95304,4696,3,3,4,Loyal
CUST1065,5,3487,ORD067761,67761,32239,1,1,1,Lost
CUST1066,10,5921,ORD082720,82720,17280,1,2,3,Hibernating
CUST1067,10,4402,ORD085983,85983,14017,2,2,1,Promising
CUST1068,7,3414,ORD054412,54412,45588,1,1,1,Lost
CUST1069,16,11874,ORD097878,97878,2122,4,5,5,Champions
CUST1070,16,7463,ORD094568,94568,5432,3,5,4,Loyal
CUST1071,14,11738,ORD099700,99700,300,5,4,5,Champions
CUST1072,15,8544,ORD089041,89041,10959,2,5,4,At Risk
CUST1073,13,6633,ORD092945,92945,7055,3,4,3,Loyal
CUST1074,18,10646,ORD099536,99536,464,5,5,5,Champions
CUST1075,5,3265,ORD091620,91620,8380,2,1,1,Promising
CUST1076,12,6558,ORD089835,89835,10165,2,3,3,At Risk
CUST1077,8,4235,ORD086849,86849,13151,2,1,1,Promising
CUST1078,18,13782,ORD099465,99465,535,5,5,5,Champions
CUST1079,8,3580,ORD051161,51161,48839,1,1,1,Lost
CUST1080,12,8213,ORD089374,89374,10626,2,3,4,At Risk
CUST1081,12,6588,ORD099028,99028,972,5,3,3,Loyal
CUST1082,10,6320,ORD095300,95300,4700,3,2,3,Potential Loyalists
CUST1083,7,3873,ORD097414,97414,2586,4,1,1,New Customers
CUST1084,14,7473,ORD096313,96313,3687,4,4,4,Champions
CUST1085,9,4844,ORD089393,89393,10607,2,2,2,Promising
CUST1086,9,6229,ORD077549,77549,22451,1,2,3,Hibernating
CUST1087,11,9692,ORD099476,99476,524,5,3,5,Loyal
CUST1088,10,5001,ORD094180,94180,5820,3,2,2,Promising
CUST1089,12,4704,ORD099910,99910,90,5,3,2,Loyal
CUST1090,8,4066,ORD098019,98019,1981,5,1,1,New Customers
CUST1091,11,6653,ORD099528,99528,472,5,3,3,Loyal
CUST1092,7,3045,ORD094446,94446,5554,3,1,1,Promising
CUST1093,14,7354,ORD068508,68508,31492,1,4,4,At Risk
CUST1094,13,7203,ORD094771,94771,5229,3,4,4,Loyal
CUST1095,11,5922,ORD097334,97334,2666,4,3,3,Loyal
CUST1096,14,8264,ORD097789,97789,2211,4,4,4,Champions
CUST1097,9,4914,ORD098431,98431,1569,5,2,2,New Customers
CUST1098,7,3079,ORD098454,98454,1546,5,1,1,New Customers
CUST1099,13,5577,ORD090388,90388,9612,2,4,2,At Risk
CUST1100,14,10036,ORD093258,93258,6742,3,4,5,Loyal
CUST1101,4,1080,ORD065862,65862,34138,1,1,1,Lost
CUST1102,10,4964,ORD072968,72968,27032,1,2,2,Promising
CUST1103,10,4619,ORD090111,90111,9889,2,2,2,Promising
CUST1104,18,10893,ORD097240,97240,2760,4,5,5,Champions
CUST1105,12,4131,ORD098642,98642,1358,5,3,1,Loyal
CUST1106,14,5329,ORD078609,78609,21391,1,4,2,At Risk
CUST1107,14,11467,ORD098509,98509,1491,5,4,5,Champions
CUST1108,13,6796,ORD089638,89638,10362,2,4,3,At Risk
CUST1109,9,7077,ORD089520,89520,10480,2,2,4,Hibernating
CUST1110,16,12701,ORD098949,98949,1051,5,5,5,Champions
CUST1111,6,6281,ORD095981,95981,4019,4,1,3,New Customers
CUST1112,16,8218,ORD096190,96190,3810,4,5,4,Champions
CUST1113,16,14134,ORD091662,91662,8338,2,5,5,At Risk
CUST1114,10,9412,ORD085316,85316,14684,1,2,5,Hibernating
CUST1115,13,8005,ORD094875,94875,5125,3,4,4,Loyal
CUST1116,12,6644,ORD097722,97722,2278,4,3,3,Loyal
CUST1117,11,5106,ORD090747,90747,9253,2,3,2,At Risk
CUST1118,18,12189,ORD099352,99352,648,5,5,5,Champions
CUST1119,14,5743,ORD092905,92905,7095,3,4,2,Loyal
CUST1120,12,6999,ORD093474,93474,6526,3,3,4,Loyal
CUST1121,17,9873,ORD099689,99689,311,5,5,5,Champions
CUST1122,8,3190,ORD097779,97779,2221,4,1,1,New Customers
CUST1123,2,1051,ORD058542,58542,41458,1,1,1,Lost
CUST1124,11,5083,ORD098840,98840,1160,5,3,2,Loyal
CUST1125,9,4782,ORD090684,90684,9316,2,2,2,Promising
CUST1126,7,3645,ORD094084,94084,5916,3,1,1,Promising
CUST1127,18,7278,ORD098800,98800,1200,5,5,4,Champions
CUST1128,15,9199,ORD096548,96548,3452,4,5,5,Champions
CUST1129,19,10875,ORD098928,98928,1072,5,5,5,Champions
CUST1130,18,12137,ORD099071,99071,929,5,5,5,Champions
CUST1131,11,5601,ORD088699,88699,11301,2,3,2,At Risk
CUST1132,13,10288,ORD098533,98533,1467,5,4,5,Champions
CUST1133,7,4196,ORD068144,68144,31856,1,1,1,Lost
CUST1134,8,3824,ORD094535,94535,5465,3,1,1,Promising
CUST1135,13,5441,ORD097986,97986,2014,5,4,2,Loyal
CUST1136,14,11076,ORD091973,91973,8027,3,4,5,Loyal
CUST1137,18,9381,ORD089390,89390,10610,2,5,5,At Risk
